time,date,value,Route
07:00:00,2019-05-04,00:01:23,Route_4_WharfsideWay
07:15:00,2019-05-04,00:02:09,Route_4_WharfsideWay
07:30:00,2019-05-04,00:00:00,Route_4_WharfsideWay
07:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
08:00:00,2019-05-04,00:02:31,Route_4_WharfsideWay
08:15:00,2019-05-04,00:01:27,Route_4_WharfsideWay
08:30:00,2019-05-04,00:00:00,Route_4_WharfsideWay
08:45:00,2019-05-04,00:01:30,Route_4_WharfsideWay
09:00:00,2019-05-04,00:00:52,Route_4_WharfsideWay
09:15:00,2019-05-04,00:01:26,Route_4_WharfsideWay
09:30:00,2019-05-04,00:02:26,Route_4_WharfsideWay
09:45:00,2019-05-04,00:01:58,Route_4_WharfsideWay
10:00:00,2019-05-04,00:01:11,Route_4_WharfsideWay
10:15:00,2019-05-04,00:01:28,Route_4_WharfsideWay
10:30:00,2019-05-04,00:00:00,Route_4_WharfsideWay
10:45:00,2019-05-04,00:01:42,Route_4_WharfsideWay
11:00:00,2019-05-04,00:00:00,Route_4_WharfsideWay
11:15:00,2019-05-04,00:02:03,Route_4_WharfsideWay
11:30:00,2019-05-04,00:01:39,Route_4_WharfsideWay
11:45:00,2019-05-04,00:01:20,Route_4_WharfsideWay
12:00:00,2019-05-04,00:02:04,Route_4_WharfsideWay
12:15:00,2019-05-04,00:02:06,Route_4_WharfsideWay
12:30:00,2019-05-04,00:01:47,Route_4_WharfsideWay
12:45:00,2019-05-04,00:04:02,Route_4_WharfsideWay
13:00:00,2019-05-04,00:01:42,Route_4_WharfsideWay
13:15:00,2019-05-04,00:01:26,Route_4_WharfsideWay
13:30:00,2019-05-04,00:00:00,Route_4_WharfsideWay
13:45:00,2019-05-04,00:01:12,Route_4_WharfsideWay
14:00:00,2019-05-04,00:01:44,Route_4_WharfsideWay
14:15:00,2019-05-04,00:01:40,Route_4_WharfsideWay
14:30:00,2019-05-04,00:01:55,Route_4_WharfsideWay
